rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
-60.849,0.234,-5801.08888615385,6614.53471401415,7991.09437166424,NaN,12.0228769230769
-60.849,5.3221,563.396286153846,689.234263408802,764.473035339681,NaN,9.82307692307692
-60.849,10.44,2645.79259307692,506.46712063139,567.067081046173,NaN,10.6155
-60.849,15.5587,4753.66064307692,550.908997655286,597.873334408775,NaN,13.4279384615385
-60.849,20.6751,6936.74964153846,595.117502736993,639.485778926954,NaN,15.9136769230769
-60.849,25.7972,9222.12585923078,683.141202967817,718.965838709675,NaN,18.2563846153846
-60.849,30.9165,11673.6997469231,765.872454424391,818.816427303533,NaN,20.3361384615385
-60.849,36.0316,14387.4287969231,789.622925226586,860.953420458206,NaN,22.4691615384615
-60.849,41.1499,17331.9615569231,1230.96335081274,1262.06493380691,NaN,24.2900461538461
-60.849,46.2697,23888.3451315384,3156.77592107641,3325.73306451614,NaN,30.4816846153845
-60.849,51.3902,52175.0268192308,9413.38038748892,10835.3795153473,NaN,74.4538999999999
-70.8399,0.2341,-6453.10313923077,6919.05770233704,8153.44172464003,NaN,13.7933
-70.8399,5.3189,1196.11800153846,1271.7745747306,1319.09530493708,NaN,15.4122615384615
-70.8399,10.4407,3460.67333307692,541.832662652768,628.461052801549,NaN,12.4230846153846
-70.8399,15.5578,5503.49253769231,623.744130111991,735.694354838709,NaN,14.7333692307692
-70.8399,20.6746,7523.51012692308,645.88450091791,712.374987881726,NaN,16.9913384615385
-70.8399,25.7945,9757.66321461539,692.099367850626,809.341245764076,NaN,19.1796461538462
-70.8399,30.9111,12172.5304676923,787.928921609226,872.242723459185,NaN,21.2439769230769
-70.8399,36.0265,14775.1081169231,850.457709553319,938.639867699262,NaN,23.1738538461538
-70.8399,41.1413,17899.9130546154,1713.40961376305,1775.89189276486,NaN,25.0782923076923
-70.8399,46.2601,32017.1774346154,6626.28310821595,6665.74340109715,NaN,44.3531923076923
-70.8399,51.3771,69545.6096938461,13733.5626419883,15349.2078513732,NaN,105.177061538461
-80.8308,0.2343,-7255.90797538462,6752.33328928931,7915.5909252669,NaN,15.0919153846154
-80.8308,5.3226,1580.87434230769,1513.89981946475,1609.45774443369,NaN,21.5988230769231
-80.8308,10.4421,4201.35653923077,681.512840490375,795.372311914756,NaN,14.0486230769231
-80.8308,15.5609,6252.23159923077,767.355693630709,941.80414516129,NaN,16.0071461538462
-80.8308,20.6814,8303.51789230769,742.282233320182,884.885084033612,NaN,18.0785769230769
-80.8308,25.803,10521.6807576923,787.527876115389,995.29506371996,NaN,20.2634615384615
-80.8308,30.9226,12943.4625169231,681.304331465651,861.218070345271,NaN,22.0327
-80.8308,36.0411,15650.6861176923,935.443389042438,1117.51429262784,NaN,23.8803384615385
-80.8308,41.159,20201.1236046154,2546.41332434682,2686.25809523809,NaN,27.1668615384616
-80.8308,46.2772,45360.2203961538,11315.347892195,11863.7392672692,NaN,67.1558384615383
-80.8308,51.3938,107503.644502307,36831.4265444479,38196.3676204332,NaN,171.39593076923
-90.819,0.2344,-8165.53343153847,6908.07184982948,7996.93774256145,NaN,16.5686307692308
-90.819,5.3211,1633.02831153846,1921.47049921601,1961.31290947233,NaN,27.5526307692308
-90.819,10.4401,4650.80055846153,581.391558143921,737.450411622275,NaN,15.5695384615385
-90.819,15.5599,6793.03928538462,964.001204320678,1191.8129516129,NaN,17.0026076923077
-90.819,20.6786,8961.58761153846,930.144657006273,1100.87294022617,NaN,18.9542538461538
